id,repo_id,user_id,commit_hash,author_name,author_email,commit_date,message,weekday,hour,additions,deletions,total_changes,year,month,year_month,is_weekend,is_business_hours
1100,4,1,6f7ae722,Developer Profile,dev@intelligence.platform,2024-09-24 19:25:29.141072+00:00,Benchmark core module in Customer Churn Propensity Analytics,1,19,100,34,94,2024,9,2024-09,0,0
457,2,1,6ae3b3ca,Developer Profile,dev@intelligence.platform,2024-09-24 22:56:12.132678+00:00,Refactor core module in Deep Timeseries Forecasting,1,22,88,53,99,2024,9,2024-09,0,0
1101,4,1,e0a4ecce,Developer Profile,dev@intelligence.platform,2024-09-25 11:34:10.141072+00:00,Refactor core module in Customer Churn Propensity Analytics,2,11,147,14,127,2024,9,2024-09,0,1
887,3,1,e5178a32,Developer Profile,dev@intelligence.platform,2024-09-25 22:55:44.138678+00:00,Implement core module in Clinical Nlp Pipeline,2,22,71,9,167,2024,9,2024-09,0,0
888,3,1,37d6e456,Developer Profile,dev@intelligence.platform,2024-09-26 09:31:16.138678+00:00,Upgrade dependencies for core module in Clinical Nlp Pipeline,3,9,141,12,191,2024,9,2024-09,0,1
458,2,1,ad82caaf,Developer Profile,dev@intelligence.platform,2024-09-26 10:16:37.132678+00:00,Fix bug in core module in Deep Timeseries Forecasting,3,10,89,25,76,2024,9,2024-09,0,1
459,2,1,db1b9b7a,Developer Profile,dev@intelligence.platform,2024-09-26 11:33:43.132678+00:00,Benchmark core module in Deep Timeseries Forecasting,3,11,178,15,143,2024,9,2024-09,0,1
9,1,1,794010a3,Developer Profile,dev@intelligence.platform,2024-09-27 19:39:56.125680+00:00,Add unit tests for core module in Credit Fraud Detection Engine,4,19,147,31,96,2024,9,2024-09,0,0
460,2,1,d7962304,Developer Profile,dev@intelligence.platform,2024-09-28 15:19:05.132678+00:00,Upgrade dependencies for core module in Deep Timeseries Forecasting,5,15,75,8,36,2024,9,2024-09,1,0
461,2,1,86c34d60,Developer Profile,dev@intelligence.platform,2024-09-28 16:16:14.132678+00:00,Add unit tests for core module in Deep Timeseries Forecasting,5,16,61,55,117,2024,9,2024-09,1,0
1273,5,1,45e1d2e0,Developer Profile,dev@intelligence.platform,2024-10-01 14:23:36.143646+00:00,Update documentation for core module in Sql Analytics Templates,1,14,120,56,154,2024,10,2024-10,0,1
462,2,1,ce2ea60d,Developer Profile,dev@intelligence.platform,2024-10-01 15:31:45.132678+00:00,Add unit tests for core module in Deep Timeseries Forecasting,1,15,74,5,89,2024,10,2024-10,0,1
1102,4,1,a719dfa3,Developer Profile,dev@intelligence.platform,2024-10-01 16:55:19.141072+00:00,Optimize core module in Customer Churn Propensity Analytics,1,16,96,30,94,2024,10,2024-10,0,1
889,3,1,327d0938,Developer Profile,dev@intelligence.platform,2024-10-02 09:43:43.138678+00:00,Add unit tests for core module in Clinical Nlp Pipeline,2,9,166,22,195,2024,10,2024-10,0,1
10,1,1,b0af4641,Developer Profile,dev@intelligence.platform,2024-10-03 14:07:26.125680+00:00,Add unit tests for core module in Credit Fraud Detection Engine,3,14,96,42,38,2024,10,2024-10,0,1
890,3,1,cc58903a,Developer Profile,dev@intelligence.platform,2024-10-03 19:41:03.138678+00:00,Update documentation for core module in Clinical Nlp Pipeline,3,19,165,31,56,2024,10,2024-10,0,0
891,3,1,29ca6ae8,Developer Profile,dev@intelligence.platform,2024-10-05 15:14:44.138678+00:00,Refactor core module in Clinical Nlp Pipeline,5,15,125,49,160,2024,10,2024-10,1,0
11,1,1,d447c4cf,Developer Profile,dev@intelligence.platform,2024-10-06 16:17:41.125680+00:00,Benchmark core module in Credit Fraud Detection Engine,6,16,28,9,220,2024,10,2024-10,1,0
1274,5,1,4638d9e0,Developer Profile,dev@intelligence.platform,2024-10-07 14:16:34.143646+00:00,Update documentation for core module in Sql Analytics Templates,0,14,58,11,27,2024,10,2024-10,0,1
1275,5,1,3c4510a6,Developer Profile,dev@intelligence.platform,2024-10-07 21:35:26.143646+00:00,Add unit tests for core module in Sql Analytics Templates,0,21,122,7,148,2024,10,2024-10,0,0
12,1,1,cfab289c,Developer Profile,dev@intelligence.platform,2024-10-09 10:14:32.125680+00:00,Update documentation for core module in Credit Fraud Detection Engine,2,10,108,56,49,2024,10,2024-10,0,1
463,2,1,e3278e89,Developer Profile,dev@intelligence.platform,2024-10-09 14:04:45.132678+00:00,Fix bug in core module in Deep Timeseries Forecasting,2,14,46,47,145,2024,10,2024-10,0,1
13,1,1,c4ac4698,Developer Profile,dev@intelligence.platform,2024-10-10 10:53:08.125680+00:00,Fix bug in core module in Credit Fraud Detection Engine,3,10,79,23,41,2024,10,2024-10,0,1
464,2,1,3887f331,Developer Profile,dev@intelligence.platform,2024-10-10 17:27:57.132678+00:00,Implement core module in Deep Timeseries Forecasting,3,17,45,43,68,2024,10,2024-10,0,1
1103,4,1,ab7e9836,Developer Profile,dev@intelligence.platform,2024-10-10 19:00:46.141072+00:00,Optimize core module in Customer Churn Propensity Analytics,3,19,170,40,108,2024,10,2024-10,0,0
465,2,1,511a336e,Developer Profile,dev@intelligence.platform,2024-10-10 19:48:55.132678+00:00,Upgrade dependencies for core module in Deep Timeseries Forecasting,3,19,94,44,58,2024,10,2024-10,0,0
466,2,1,a9567071,Developer Profile,dev@intelligence.platform,2024-10-10 22:53:51.132678+00:00,Fix bug in core module in Deep Timeseries Forecasting,3,22,31,38,81,2024,10,2024-10,0,0
1276,5,1,df1460ba,Developer Profile,dev@intelligence.platform,2024-10-11 16:17:56.143646+00:00,Fix bug in core module in Sql Analytics Templates,4,16,33,59,36,2024,10,2024-10,0,1
14,1,1,5562a983,Developer Profile,dev@intelligence.platform,2024-10-12 19:50:45.125680+00:00,Benchmark core module in Credit Fraud Detection Engine,5,19,154,53,65,2024,10,2024-10,1,0
892,3,1,28d73959,Developer Profile,dev@intelligence.platform,2024-10-12 21:46:48.138678+00:00,Fix bug in core module in Clinical Nlp Pipeline,5,21,101,51,175,2024,10,2024-10,1,0
467,2,1,e7cf8be3,Developer Profile,dev@intelligence.platform,2024-10-12 21:55:37.132678+00:00,Update documentation for core module in Deep Timeseries Forecasting,5,21,125,16,115,2024,10,2024-10,1,0
15,1,1,064ec69b,Developer Profile,dev@intelligence.platform,2024-10-12 22:58:11.125680+00:00,Fix bug in core module in Credit Fraud Detection Engine,5,22,89,60,203,2024,10,2024-10,1,0
468,2,1,7f6e094e,Developer Profile,dev@intelligence.platform,2024-10-13 10:15:55.132678+00:00,Upgrade dependencies for core module in Deep Timeseries Forecasting,6,10,110,12,17,2024,10,2024-10,1,0
1104,4,1,f760cf38,Developer Profile,dev@intelligence.platform,2024-10-14 09:28:08.141072+00:00,Refactor core module in Customer Churn Propensity Analytics,0,9,123,7,97,2024,10,2024-10,0,1
1277,5,1,5e06c98f,Developer Profile,dev@intelligence.platform,2024-10-14 10:05:49.143646+00:00,Benchmark core module in Sql Analytics Templates,0,10,146,31,231,2024,10,2024-10,0,1
469,2,1,4f3617e6,Developer Profile,dev@intelligence.platform,2024-10-15 10:55:36.132678+00:00,Add unit tests for core module in Deep Timeseries Forecasting,1,10,63,5,110,2024,10,2024-10,0,1
16,1,1,20ed6ea0,Developer Profile,dev@intelligence.platform,2024-10-15 14:22:15.125680+00:00,Fix bug in core module in Credit Fraud Detection Engine,1,14,44,11,46,2024,10,2024-10,0,1
1278,5,1,1755dfd1,Developer Profile,dev@intelligence.platform,2024-10-15 21:14:09.143646+00:00,Optimize core module in Sql Analytics Templates,1,21,86,23,177,2024,10,2024-10,0,0
17,1,1,e1cdf4b6,Developer Profile,dev@intelligence.platform,2024-10-16 09:07:32.125680+00:00,Add unit tests for core module in Credit Fraud Detection Engine,2,9,116,19,182,2024,10,2024-10,0,1
18,1,1,c19823a5,Developer Profile,dev@intelligence.platform,2024-10-16 10:14:31.125680+00:00,Benchmark core module in Credit Fraud Detection Engine,2,10,69,11,136,2024,10,2024-10,0,1
1279,5,1,0715e8e7,Developer Profile,dev@intelligence.platform,2024-10-16 22:10:46.143646+00:00,Add unit tests for core module in Sql Analytics Templates,2,22,108,19,170,2024,10,2024-10,0,0
1280,5,1,bf2b76a6,Developer Profile,dev@intelligence.platform,2024-10-17 15:16:52.143646+00:00,Add unit tests for core module in Sql Analytics Templates,3,15,179,30,49,2024,10,2024-10,0,1
19,1,1,b4735595,Developer Profile,dev@intelligence.platform,2024-10-18 10:47:54.125680+00:00,Fix bug in core module in Credit Fraud Detection Engine,4,10,11,7,149,2024,10,2024-10,0,1
893,3,1,527805c8,Developer Profile,dev@intelligence.platform,2024-10-18 14:13:11.138678+00:00,Update documentation for core module in Clinical Nlp Pipeline,4,14,147,15,42,2024,10,2024-10,0,1
1281,5,1,3df6f2ef,Developer Profile,dev@intelligence.platform,2024-10-18 19:25:32.143646+00:00,Upgrade dependencies for core module in Sql Analytics Templates,4,19,58,39,36,2024,10,2024-10,0,0
470,2,1,a6c111cd,Developer Profile,dev@intelligence.platform,2024-10-19 09:09:20.132678+00:00,Optimize core module in Deep Timeseries Forecasting,5,9,41,40,214,2024,10,2024-10,1,0
1282,5,1,4098e054,Developer Profile,dev@intelligence.platform,2024-10-19 09:43:39.143646+00:00,Refactor core module in Sql Analytics Templates,5,9,12,40,153,2024,10,2024-10,1,0
1105,4,1,921c20bd,Developer Profile,dev@intelligence.platform,2024-10-19 14:18:20.141072+00:00,Fix bug in core module in Customer Churn Propensity Analytics,5,14,110,26,85,2024,10,2024-10,1,0
894,3,1,c75cbe88,Developer Profile,dev@intelligence.platform,2024-10-19 21:30:38.138678+00:00,Optimize core module in Clinical Nlp Pipeline,5,21,116,7,120,2024,10,2024-10,1,0
20,1,1,a82d3933,Developer Profile,dev@intelligence.platform,2024-10-20 22:58:33.125680+00:00,Upgrade dependencies for core module in Credit Fraud Detection Engine,6,22,18,22,238,2024,10,2024-10,1,0
21,1,1,10e9d180,Developer Profile,dev@intelligence.platform,2024-10-21 15:22:13.125680+00:00,Refactor core module in Credit Fraud Detection Engine,0,15,147,40,105,2024,10,2024-10,0,1
895,3,1,886ced28,Developer Profile,dev@intelligence.platform,2024-10-22 11:44:02.138678+00:00,Refactor core module in Clinical Nlp Pipeline,1,11,153,39,74,2024,10,2024-10,0,1
22,1,1,701e6076,Developer Profile,dev@intelligence.platform,2024-10-22 17:36:44.125680+00:00,Upgrade dependencies for core module in Credit Fraud Detection Engine,1,17,100,5,173,2024,10,2024-10,0,1
896,3,1,9eb1e1b1,Developer Profile,dev@intelligence.platform,2024-10-22 22:38:43.138678+00:00,Upgrade dependencies for core module in Clinical Nlp Pipeline,1,22,99,46,190,2024,10,2024-10,0,0
471,2,1,4bd47675,Developer Profile,dev@intelligence.platform,2024-10-23 09:07:00.132678+00:00,Fix bug in core module in Deep Timeseries Forecasting,2,9,109,38,237,2024,10,2024-10,0,1
472,2,1,e5c86b2a,Developer Profile,dev@intelligence.platform,2024-10-23 16:24:51.132678+00:00,Upgrade dependencies for core module in Deep Timeseries Forecasting,2,16,91,44,100,2024,10,2024-10,0,1
897,3,1,cdb73265,Developer Profile,dev@intelligence.platform,2024-10-23 19:29:52.138678+00:00,Implement core module in Clinical Nlp Pipeline,2,19,55,43,96,2024,10,2024-10,0,0
23,1,1,46a86201,Developer Profile,dev@intelligence.platform,2024-10-23 19:36:14.125680+00:00,Fix bug in core module in Credit Fraud Detection Engine,2,19,113,22,200,2024,10,2024-10,0,0
473,2,1,d81e3fbf,Developer Profile,dev@intelligence.platform,2024-10-23 21:50:51.132678+00:00,Optimize core module in Deep Timeseries Forecasting,2,21,90,41,55,2024,10,2024-10,0,0
24,1,1,070e5820,Developer Profile,dev@intelligence.platform,2024-10-24 09:26:28.125680+00:00,Add unit tests for core module in Credit Fraud Detection Engine,3,9,23,44,154,2024,10,2024-10,0,1
25,1,1,a6474f57,Developer Profile,dev@intelligence.platform,2024-10-24 14:43:58.125680+00:00,Implement core module in Credit Fraud Detection Engine,3,14,109,21,148,2024,10,2024-10,0,1
1106,4,1,e1c20bf8,Developer Profile,dev@intelligence.platform,2024-10-25 10:29:06.141072+00:00,Implement core module in Customer Churn Propensity Analytics,4,10,174,31,134,2024,10,2024-10,0,1
1283,5,1,9f0306ef,Developer Profile,dev@intelligence.platform,2024-10-26 14:50:07.143646+00:00,Add unit tests for core module in Sql Analytics Templates,5,14,32,19,29,2024,10,2024-10,1,0
1284,5,1,ea4588d5,Developer Profile,dev@intelligence.platform,2024-10-26 15:18:39.143646+00:00,Upgrade dependencies for core module in Sql Analytics Templates,5,15,45,30,105,2024,10,2024-10,1,0
26,1,1,dc2d06b9,Developer Profile,dev@intelligence.platform,2024-10-26 15:46:40.125680+00:00,Update documentation for core module in Credit Fraud Detection Engine,5,15,99,51,224,2024,10,2024-10,1,0
474,2,1,802b8635,Developer Profile,dev@intelligence.platform,2024-10-26 17:16:24.132678+00:00,Refactor core module in Deep Timeseries Forecasting,5,17,59,51,127,2024,10,2024-10,1,0
898,3,1,f3fe08bb,Developer Profile,dev@intelligence.platform,2024-10-27 15:26:57.138678+00:00,Refactor core module in Clinical Nlp Pipeline,6,15,49,37,194,2024,10,2024-10,1,0
475,2,1,0a89993e,Developer Profile,dev@intelligence.platform,2024-10-27 19:32:09.132678+00:00,Add unit tests for core module in Deep Timeseries Forecasting,6,19,27,40,232,2024,10,2024-10,1,0
27,1,1,abdb91fa,Developer Profile,dev@intelligence.platform,2024-10-27 21:14:12.125680+00:00,Refactor core module in Credit Fraud Detection Engine,6,21,29,53,54,2024,10,2024-10,1,0
1107,4,1,e25e4be3,Developer Profile,dev@intelligence.platform,2024-11-01 14:20:26.141072+00:00,Update documentation for core module in Customer Churn Propensity Analytics,4,14,169,43,184,2024,11,2024-11,0,1
899,3,1,9a35d66f,Developer Profile,dev@intelligence.platform,2024-11-01 15:51:59.138678+00:00,Upgrade dependencies for core module in Clinical Nlp Pipeline,4,15,148,29,16,2024,11,2024-11,0,1
1108,4,1,55dabd28,Developer Profile,dev@intelligence.platform,2024-11-02 09:08:49.141072+00:00,Upgrade dependencies for core module in Customer Churn Propensity Analytics,5,9,134,36,125,2024,11,2024-11,1,0
476,2,1,a5c7fabb,Developer Profile,dev@intelligence.platform,2024-11-04 09:00:43.132678+00:00,Add unit tests for core module in Deep Timeseries Forecasting,0,9,84,40,31,2024,11,2024-11,0,1
28,1,1,91aee7e1,Developer Profile,dev@intelligence.platform,2024-11-04 09:39:00.125680+00:00,Update documentation for core module in Credit Fraud Detection Engine,0,9,113,31,180,2024,11,2024-11,0,1
1109,4,1,0bb0e744,Developer Profile,dev@intelligence.platform,2024-11-04 17:34:19.141072+00:00,Optimize core module in Customer Churn Propensity Analytics,0,17,67,48,230,2024,11,2024-11,0,1
477,2,1,5c92f0c3,Developer Profile,dev@intelligence.platform,2024-11-06 09:39:44.132678+00:00,Add unit tests for core module in Deep Timeseries Forecasting,2,9,62,14,198,2024,11,2024-11,0,1
29,1,1,d633c7a8,Developer Profile,dev@intelligence.platform,2024-11-07 14:36:48.125680+00:00,Benchmark core module in Credit Fraud Detection Engine,3,14,172,23,56,2024,11,2024-11,0,1
1110,4,1,23ad2c15,Developer Profile,dev@intelligence.platform,2024-11-07 17:50:30.141072+00:00,Upgrade dependencies for core module in Customer Churn Propensity Analytics,3,17,144,30,166,2024,11,2024-11,0,1
478,2,1,5cea1ffc,Developer Profile,dev@intelligence.platform,2024-11-08 10:46:12.132678+00:00,Add unit tests for core module in Deep Timeseries Forecasting,4,10,21,45,235,2024,11,2024-11,0,1
900,3,1,1da80345,Developer Profile,dev@intelligence.platform,2024-11-08 14:33:36.138678+00:00,Optimize core module in Clinical Nlp Pipeline,4,14,119,49,27,2024,11,2024-11,0,1
1285,5,1,69e9a06a,Developer Profile,dev@intelligence.platform,2024-11-09 10:39:34.143646+00:00,Benchmark core module in Sql Analytics Templates,5,10,133,28,142,2024,11,2024-11,1,0
901,3,1,3bdf52d0,Developer Profile,dev@intelligence.platform,2024-11-11 15:31:24.138678+00:00,Fix bug in core module in Clinical Nlp Pipeline,0,15,52,58,211,2024,11,2024-11,0,1
1111,4,1,0a68e75c,Developer Profile,dev@intelligence.platform,2024-11-12 11:14:42.141072+00:00,Implement core module in Customer Churn Propensity Analytics,1,11,161,53,138,2024,11,2024-11,0,1
479,2,1,6e87c4aa,Developer Profile,dev@intelligence.platform,2024-11-15 14:31:27.132678+00:00,Upgrade dependencies for core module in Deep Timeseries Forecasting,4,14,31,56,75,2024,11,2024-11,0,1
480,2,1,10a784c3,Developer Profile,dev@intelligence.platform,2024-11-15 15:39:27.132678+00:00,Upgrade dependencies for core module in Deep Timeseries Forecasting,4,15,176,30,234,2024,11,2024-11,0,1
1286,5,1,9c9d298d,Developer Profile,dev@intelligence.platform,2024-11-15 15:43:37.143646+00:00,Add unit tests for core module in Sql Analytics Templates,4,15,109,50,198,2024,11,2024-11,0,1
30,1,1,1a33b91b,Developer Profile,dev@intelligence.platform,2024-11-15 15:55:57.125680+00:00,Benchmark core module in Credit Fraud Detection Engine,4,15,72,6,170,2024,11,2024-11,0,1
31,1,1,5dfca81b,Developer Profile,dev@intelligence.platform,2024-11-15 15:59:36.125680+00:00,Refactor core module in Credit Fraud Detection Engine,4,15,41,52,99,2024,11,2024-11,0,1
32,1,1,fbb8cda0,Developer Profile,dev@intelligence.platform,2024-11-15 17:37:21.125680+00:00,Fix bug in core module in Credit Fraud Detection Engine,4,17,42,16,237,2024,11,2024-11,0,1
33,1,1,2aa9dfb6,Developer Profile,dev@intelligence.platform,2024-11-15 22:19:25.125680+00:00,Upgrade dependencies for core module in Credit Fraud Detection Engine,4,22,19,26,192,2024,11,2024-11,0,0
1287,5,1,427fa6a5,Developer Profile,dev@intelligence.platform,2024-11-16 09:22:06.143646+00:00,Add unit tests for core module in Sql Analytics Templates,5,9,93,22,126,2024,11,2024-11,1,0
1288,5,1,7066e906,Developer Profile,dev@intelligence.platform,2024-11-16 09:46:22.143646+00:00,Add unit tests for core module in Sql Analytics Templates,5,9,36,27,55,2024,11,2024-11,1,0
481,2,1,1cb3b5c0,Developer Profile,dev@intelligence.platform,2024-11-17 15:16:47.132678+00:00,Implement core module in Deep Timeseries Forecasting,6,15,171,34,23,2024,11,2024-11,1,0
902,3,1,97b959ae,Developer Profile,dev@intelligence.platform,2024-11-17 15:23:29.138678+00:00,Fix bug in core module in Clinical Nlp Pipeline,6,15,55,58,202,2024,11,2024-11,1,0
482,2,1,86756ba7,Developer Profile,dev@intelligence.platform,2024-11-17 19:09:17.132678+00:00,Refactor core module in Deep Timeseries Forecasting,6,19,130,60,61,2024,11,2024-11,1,0
34,1,1,41ccb34a,Developer Profile,dev@intelligence.platform,2024-11-18 11:06:19.125680+00:00,Fix bug in core module in Credit Fraud Detection Engine,0,11,95,9,85,2024,11,2024-11,0,1
1289,5,1,6fa60254,Developer Profile,dev@intelligence.platform,2024-11-19 11:32:57.143646+00:00,Upgrade dependencies for core module in Sql Analytics Templates,1,11,123,60,50,2024,11,2024-11,0,1
1112,4,1,2ede7f6a,Developer Profile,dev@intelligence.platform,2024-11-19 21:16:13.141072+00:00,Implement core module in Customer Churn Propensity Analytics,1,21,84,21,239,2024,11,2024-11,0,0
